# interface coord = 0.5
# y, <u>_y, <v>_y, <p>_y, <p>^i_y 
-0.499999 -1.1888e-08 -1.13073e-13 5.0225e-05 0.00010045
-0.483283 -0.000190268 -3.00564e-09 4.64659e-05 9.29318e-05
-0.466568 -0.000363666 5.24352e-09 5.2244e-05 0.000104488
-0.449852 -0.000521717 1.2137e-08 4.9404e-05 9.88079e-05
-0.433137 -0.000666908 -1.92414e-08 4.92204e-05 9.84408e-05
-0.416421 -0.000801354 -5.68073e-09 4.91483e-05 9.82966e-05
-0.399706 -0.000926891 2.2786e-08 4.21766e-05 8.43532e-05
-0.38299 -0.00104549 -7.2457e-09 4.22936e-05 8.45873e-05
-0.366275 -0.0011578 -7.5298e-08 5.1883e-05 0.000103766
-0.349559 -0.00126404 4.62769e-09 6.93017e-05 0.000138603
-0.332844 -0.00136323 6.05419e-09 3.75744e-05 7.51489e-05
-0.316128 -0.00145443 6.27316e-08 6.36819e-05 0.000127364
-0.299413 -0.00153378 5.17026e-08 3.03474e-05 6.06948e-05
-0.282697 -0.0015972 -1.01426e-07 1.61453e-05 3.22905e-05
-0.265981 -0.00164114 -2.09788e-07 9.29559e-05 0.000185912
-0.249266 -0.00165495 2.1633e-07 7.91063e-05 0.000158213
-0.23255 -0.00163076 4.14744e-08 -4.3067e-06 -8.6134e-06
-0.215835 -0.00156065 -8.58106e-07 3.86234e-05 7.72469e-05
-0.199119 -0.00142394 3.15155e-08 0.000173191 0.000346382
-0.182404 -0.0012066 9.11097e-07 6.77973e-05 0.000135595
-0.165688 -0.000892734 4.30944e-07 1.34083e-05 2.68166e-05
-0.148973 -0.000446374 -1.25969e-07 3.08904e-06 6.17808e-06
-0.132257 0.0001577 -3.35686e-07 7.71574e-05 0.000154315
-0.115542 0.000950143 7.23132e-07 0.000105553 0.000211106
-0.0988261 0.00198879 -2.96077e-08 -3.96895e-05 -7.93791e-05
-0.0821106 0.00332621 -7.95112e-07 0.000121876 0.000243752
-0.065395 0.00502554 3.67336e-07 2.29059e-05 4.58118e-05
-0.0486795 0.00719507 -1.42818e-07 6.96751e-05 0.00013935
-0.031964 0.00995645 -4.63237e-07 3.28922e-05 6.57845e-05
-0.0152484 0.0135217 4.32486e-07 -0.000512824 -0.00102565
0.0014671 0.0193465 -6.05647e-07 -0.000464859 -0.000464859
0.0181826 0.0360611 1.22927e-07 3.58018e-05 3.58018e-05
0.0348982 0.052777 9.49772e-08 -9.85311e-05 -9.85311e-05
0.0516137 0.0694911 -1.29336e-08 -1.22933e-05 -1.22933e-05
0.0683292 0.0862079 4.6678e-09 2.84773e-05 2.84773e-05
0.0850448 0.102923 2.67911e-08 -1.25858e-05 -1.25858e-05
0.10176 0.119638 1.04739e-07 6.89009e-06 6.89009e-06
0.118476 0.136354 -5.30077e-08 -3.14675e-06 -3.14675e-06
0.135191 0.15307 -4.99166e-08 -1.0243e-05 -1.0243e-05
0.151907 0.169785 -8.53156e-08 1.82796e-05 1.82796e-05
0.168622 0.1865 8.82044e-08 1.93434e-05 1.93434e-05
0.185338 0.203216 4.44184e-08 1.01864e-05 1.01864e-05
0.202054 0.219931 6.7865e-08 -2.53658e-05 -2.53658e-05
0.218769 0.236647 -8.36431e-08 1.89093e-05 1.89093e-05
0.235485 0.253363 4.89576e-08 1.50223e-05 1.50223e-05
0.2522 0.270078 6.77601e-08 -4.98124e-06 -4.98124e-06
0.268916 0.286794 -6.34278e-08 -3.04501e-05 -3.04501e-05
0.285631 0.303509 -2.9932e-08 1.44655e-05 1.44655e-05
0.302347 0.320225 3.18301e-08 1.07568e-05 1.07568e-05
0.319062 0.33694 1.38235e-08 -3.93027e-06 -3.93027e-06
0.335778 0.353656 7.05313e-09 3.18538e-06 3.18538e-06
0.352493 0.370371 5.61182e-09 -2.95136e-06 -2.95136e-06
0.369209 0.387087 -1.34806e-08 -1.83909e-06 -1.83909e-06
0.385924 0.403802 -1.76198e-08 6.59639e-06 6.59639e-06
0.40264 0.420518 2.34083e-08 2.62278e-06 2.62278e-06
0.419356 0.437234 -7.53186e-09 -4.57459e-06 -4.57459e-06
0.436071 0.453949 -1.34408e-08 -1.84687e-06 -1.84687e-06
0.452787 0.470665 -6.27295e-09 5.73842e-06 5.73842e-06
0.469502 0.48738 8.37088e-09 -2.04767e-06 -2.04767e-06
0.486218 0.504096 -7.55998e-09 -5.93146e-07 -5.93146e-07
0.502933 0.517878 1.71064e-09 -1.98709e-08 -1.98709e-08
0.519649 0.517878 -1.30876e-10 8.72518e-07 8.72518e-07
0.536364 0.517878 2.46047e-11 3.92838e-07 3.92838e-07
0.55308 0.517878 1.32116e-10 -9.15313e-07 -9.15313e-07
0.569795 0.517878 -2.10932e-09 3.48875e-07 3.48875e-07
0.586511 0.517878 -1.77256e-10 -7.04051e-07 -7.04051e-07
0.603226 0.517878 1.23199e-09 -2.31367e-07 -2.31367e-07
0.619942 0.517878 2.63958e-09 -1.18948e-06 -1.18948e-06
0.636657 0.517878 -3.22135e-09 1.15122e-06 1.15122e-06
0.653373 0.517878 -3.86854e-09 -3.46662e-07 -3.46662e-07
0.670089 0.517878 -3.05991e-09 3.71782e-07 3.71782e-07
0.686804 0.517878 9.13338e-09 1.30963e-06 1.30963e-06
0.70352 0.517878 3.37481e-09 -3.50768e-08 -3.50768e-08
0.720235 0.517878 4.83725e-09 -7.95129e-07 -7.95129e-07
0.736951 0.517878 -6.03272e-09 -7.92883e-07 -7.92883e-07
0.753666 0.517878 7.74971e-10 -6.81397e-07 -6.81397e-07
0.770382 0.517878 -5.66648e-09 9.60225e-07 9.60225e-07
0.787097 0.517878 4.65312e-09 9.2347e-07 9.2347e-07
0.803813 0.517878 8.39892e-10 -1.27083e-06 -1.27083e-06
0.820528 0.517878 2.30747e-09 2.65528e-08 2.65528e-08
0.837244 0.517878 -7.6015e-09 -1.28909e-06 -1.28909e-06
0.853959 0.517878 -6.30359e-09 4.80133e-07 4.80133e-07
0.870675 0.517878 -1.78886e-09 1.2367e-06 1.2367e-06
0.887391 0.517878 -5.10734e-09 -7.35922e-07 -7.35922e-07
0.904106 0.517878 5.19877e-09 3.86384e-07 3.86384e-07
0.920822 0.517878 -1.65196e-09 3.81939e-07 3.81939e-07
0.937537 0.517878 9.51199e-09 -6.10759e-08 -6.10759e-08
0.954253 0.517878 2.5497e-09 -3.73156e-07 -3.73156e-07
0.970968 0.517878 3.05221e-09 2.75297e-07 2.75297e-07
0.987684 0.517878 -5.71588e-09 -1.59146e-07 -1.59146e-07
1.0044 0.517878 1.01404e-08 3.2488e-07 3.2488e-07
1.02111 0.517878 -1.02606e-08 7.93009e-07 7.93009e-07
1.03783 0.517878 6.16514e-09 -1.59127e-06 -1.59127e-06
1.05455 0.517878 -2.65064e-09 -3.96259e-07 -3.96259e-07
1.07126 0.517878 -4.10837e-09 -4.00441e-07 -4.00441e-07
1.08798 0.517878 4.34764e-09 8.03881e-07 8.03881e-07
1.10469 0.517878 -3.37787e-09 3.59404e-07 3.59404e-07
1.12141 0.517878 1.04375e-09 -4.96598e-08 -4.96598e-08
1.13812 0.517878 2.56909e-10 4.99369e-07 4.99369e-07
1.15484 0.517878 5.81256e-09 -1.21696e-07 -1.21696e-07
1.17155 0.517878 -6.76326e-09 -2.70468e-07 -2.70468e-07
1.18827 0.517878 4.42535e-10 -4.5699e-07 -4.5699e-07
1.20499 0.517878 -1.14334e-09 4.13429e-08 4.13429e-08
1.2217 0.517878 -1.56343e-09 2.00211e-07 2.00211e-07
1.23842 0.517878 2.0269e-09 7.1102e-07 7.1102e-07
1.25513 0.517878 4.74564e-10 -1.2095e-07 -1.2095e-07
1.27185 0.517878 2.82448e-09 -3.81129e-07 -3.81129e-07
1.28856 0.517878 9.93991e-10 -4.47416e-07 -4.47416e-07
1.30528 0.517878 -1.98664e-09 1.99641e-07 1.99641e-07
1.32199 0.517878 -8.16154e-10 1.72699e-07 1.72699e-07
1.33871 0.517878 1.55793e-10 2.41349e-07 2.41349e-07
1.35543 0.517878 6.52909e-11 -8.39798e-08 -8.39798e-08
1.37214 0.517878 1.15699e-09 -1.15379e-07 -1.15379e-07
1.38886 0.517878 3.15227e-10 -8.5503e-08 -8.5503e-08
1.40557 0.517878 -8.7554e-10 5.63259e-08 5.63259e-08
1.42229 0.517878 -5.19329e-10 -2.75458e-08 -2.75458e-08
1.439 0.517878 1.03694e-10 3.49849e-08 3.49849e-08
1.45572 0.517878 3.38043e-10 1.59789e-08 1.59789e-08
1.47243 0.517878 2.69604e-10 -1.01484e-08 -1.01484e-08
1.48915 0.517878 1.88181e-10 -8.42669e-08 -8.42669e-08
1.50587 0.517878 -6.26577e-10 6.06922e-08 6.06922e-08
1.52258 0.517878 -2.15243e-10 3.08121e-08 3.08121e-08
1.5393 0.517878 2.44261e-10 -7.79602e-09 -7.79602e-09
1.55601 0.517878 7.13777e-11 1.03435e-08 1.03435e-08
1.57273 0.517878 2.99577e-10 5.11296e-09 5.11296e-09
1.58944 0.517878 1.62721e-10 -4.69664e-08 -4.69664e-08
1.60616 0.517878 -5.32513e-10 -2.07359e-08 -2.07359e-08
1.62287 0.517878 4.92285e-10 -1.52718e-08 -1.52718e-08
1.63959 0.517878 1.19885e-10 3.25149e-08 3.25149e-08
1.65631 0.517878 -9.69277e-11 7.42847e-09 7.42847e-09
1.67302 0.517878 -3.10337e-11 -2.59015e-09 -2.59015e-09
1.68974 0.517878 8.35523e-11 4.12724e-08 4.12724e-08
1.70645 0.517878 -7.75751e-12 -7.46059e-10 -7.46059e-10
1.72317 0.517878 4.10942e-11 -2.66159e-08 -2.66159e-08
1.73988 0.517878 -8.74601e-12 -2.37348e-08 -2.37348e-08
1.7566 0.517878 -2.00002e-10 5.63725e-09 5.63725e-09
1.77331 0.517878 2.49488e-11 7.66673e-09 7.66673e-09
1.79003 0.517878 5.11173e-11 2.16392e-08 2.16392e-08
1.80675 0.517878 8.09782e-11 -9.55123e-10 -9.55123e-10
1.82346 0.517878 1.53351e-10 -4.73161e-09 -4.73161e-09
1.84018 0.517878 1.58356e-11 -6.86781e-09 -6.86781e-09
1.85689 0.517878 -1.10248e-10 -3.69369e-09 -3.69369e-09
1.87361 0.517878 1.44357e-11 -2.20719e-09 -2.20719e-09
1.89032 0.517878 -4.16329e-11 1.30586e-08 1.30586e-08
1.90704 0.517878 -8.50724e-11 -1.97933e-10 -1.97933e-10
1.92375 0.517878 9.25956e-11 -5.36752e-09 -5.36752e-09
1.94047 0.517878 7.04747e-11 -2.31394e-09 -2.31394e-09
1.95718 0.517878 -7.83034e-11 1.21609e-09 1.21609e-09
1.9739 0.517878 3.86378e-11 -6.50577e-10 -6.50577e-10
1.99062 0.517878 -2.5718e-12 4.90951e-09 4.90951e-09
2.00733 0.517878 1.29132e-11 8.39898e-10 8.39898e-10
2.02405 0.517878 4.71489e-11 -2.19548e-10 -2.19548e-10
2.04076 0.517878 -2.14812e-11 -4.58724e-09 -4.58724e-09
2.05748 0.517878 -3.06079e-11 -2.94075e-09 -2.94075e-09
2.07419 0.517878 -2.63048e-13 1.61221e-09 1.61221e-09
2.09091 0.517878 -9.146e-13 6.17755e-09 6.17755e-09
2.10762 0.517878 6.47452e-12 1.52242e-09 1.52242e-09
2.12434 0.517878 4.57661e-11 -1.78668e-09 -1.78668e-09
2.14106 0.517878 5.31912e-12 -3.82813e-09 -3.82813e-09
2.15777 0.517878 -2.17334e-11 -7.8771e-10 -7.8771e-10
2.17449 0.517878 1.08551e-11 2.06407e-10 2.06407e-10
2.1912 0.517878 4.96049e-14 1.4372e-09 1.4372e-09
2.20792 0.517878 -1.26844e-11 5.19848e-10 5.19848e-10
2.22463 0.517878 9.90344e-12 -7.83417e-10 -7.83417e-10
2.24135 0.517878 6.32963e-12 4.38906e-10 4.38906e-10
2.25806 0.517878 -5.03242e-12 7.13692e-10 7.13692e-10
2.27478 0.517878 -2.68808e-12 -4.99376e-11 -4.99376e-11
2.2915 0.517878 3.54198e-12 -8.80521e-10 -8.80521e-10
2.30821 0.517878 -2.39024e-13 -2.68632e-10 -2.68632e-10
2.32493 0.517878 -1.45839e-12 4.43311e-11 4.43311e-11
2.34164 0.517878 3.20952e-12 6.30378e-10 6.30378e-10
2.35836 0.517878 1.04062e-12 3.52095e-10 3.52095e-10
2.37507 0.517878 3.51529e-12 -1.41383e-10 -1.41383e-10
2.39179 0.517878 -6.41056e-13 -8.38343e-10 -8.38343e-10
2.4085 0.517878 -1.56829e-13 -2.31509e-10 -2.31509e-10
2.42522 0.517878 -4.24146e-12 3.0221e-10 3.0221e-10
2.44194 0.517878 -3.50854e-12 5.24574e-10 5.24574e-10
2.45865 0.517878 2.10794e-12 -3.84176e-11 -3.84176e-11
2.47537 0.517878 3.2271e-12 -2.32848e-10 -2.32848e-10
2.49208 0.517878 -1.61402e-12 -3.92523e-10 -3.92523e-10
2.5088 0.517878 -5.38793e-13 4.61693e-11 4.61693e-11
2.52551 0.517878 -2.94225e-12 3.1502e-10 3.1502e-10
2.54223 0.517878 -1.38733e-13 3.67673e-10 3.67673e-10
2.55894 0.517878 2.29568e-12 -1.35222e-10 -1.35222e-10
2.57566 0.517878 2.39784e-13 -2.3612e-10 -2.3612e-10
2.59238 0.517878 3.56028e-13 -1.56235e-10 -1.56235e-10
